stn; yyyyMMddHHmm; rre150z0
HER;201001060340;0
HER;201001060350;0
HER;201001060400;0
HER;201001060410;0
HER;201001060420;0
HER;201001060430;0
HER;201001060440;0
HER;201001060450;0
HER;201001060500;0
HER;201001060510;0
HER;201001060520;0
HER;201001060530;0
HER;201001060540;0
HER;201001060550;0
HER;201001060600;0
HER;201001060610;0
HER;201001060620;0
HER;201001060630;0
HER;201001060640;0
HER;201001060650;0
HER;201001060700;0
HER;201001060710;0
HER;201001060720;0
HER;201001060730;0
HER;201001060740;0
HER;201001060750;0
HER;201001060800;0
HER;201001060810;0
HER;201001060820;0
HER;201001060830;0
HER;201001060840;0
HER;201001060850;0
HER;201001060900;0
HER;201001060910;0
HER;201001060920;0
HER;201001060930;0
HER;201001060940;0
HER;201001060950;0
HER;201001061000;0
HER;201001061010;0
HER;201001061020;0
HER;201001061030;0
HER;201001061040;0
HER;201001061050;0
HER;201001061100;0
HER;201001061110;0
HER;201001061120;0
HER;201001061130;0
HER;201001061140;0
HER;201001061150;0
HER;201001061200;0
HER;201001061210;0
HER;201001061220;0
HER;201001061230;0
HER;201001061240;0
HER;201001061250;0
HER;201001061300;0
HER;201001061310;0
HER;201001061320;0
HER;201001061330;0
HER;201001061340;0
HER;201001061350;0
HER;201001061400;0
HER;201001061410;0
HER;201001061420;0
HER;201001061430;0
HER;201001061440;0
HER;201001061450;0
HER;201001061500;0
HER;201001061510;0
HER;201001061520;0
HER;201001061530;0
HER;201001061540;0
HER;201001061550;0
HER;201001061600;0
HER;201001061610;0
HER;201001061620;0
HER;201001061630;0
HER;201001061640;0
HER;201001061650;0
HER;201001061700;0
HER;201001061710;0
HER;201001061720;0
HER;201001061730;0
HER;201001061740;0
HER;201001061750;0
HER;201001061800;0
HER;201001061810;0
HER;201001061820;0
HER;201001061830;0
HER;201001061840;0
HER;201001061850;0
HER;201001061900;0
HER;201001061910;0
HER;201001061920;0
HER;201001061930;0
HER;201001061940;0
HER;201001061950;0
HER;201001062000;0
HER;201001062010;0
HER;201001062020;0
HER;201001062030;0
HER;201001062040;0
HER;201001062050;0
HER;201001062100;0
HER;201001062110;0
HER;201001062120;0
HER;201001062130;0
HER;201001062140;0
HER;201001062150;0
HER;201001062200;0
HER;201001062210;0
HER;201001062220;0
HER;201001062230;0
HER;201001062240;0
HER;201001062250;0
HER;201001062300;0
HER;201001062310;0
HER;201001062320;0
HER;201001062330;0
HER;201001062340;0
HER;201001062350;0
HER;201001070000;0
HER;201001070010;0
HER;201001070020;0
HER;201001070030;0
HER;201001070040;0
HER;201001070050;0
HER;201001070100;0
HER;201001070110;0
HER;201001070120;0
HER;201001070130;0
HER;201001070140;0
HER;201001070150;0
HER;201001070200;0
HER;201001070210;0
HER;201001070220;0
HER;201001070230;0
HER;201001070240;0
HER;201001070250;0
HER;201001070300;0
HER;201001070310;0
HER;201001070320;0
HER;201001070330;0
HER;201001070340;0
HER;201001070350;0
HER;201001070400;0
HER;201001070410;0
HER;201001070420;0
HER;201001070430;0
HER;201001070440;0
HER;201001070450;0
HER;201001070500;0
HER;201001070510;0
HER;201001070520;0
HER;201001070530;0
HER;201001070540;0
HER;201001070550;0
HER;201001070600;0
HER;201001070610;0
HER;201001070620;0
HER;201001070630;0
HER;201001070640;0
HER;201001070650;0
HER;201001070700;0
HER;201001070710;0
HER;201001070720;0
HER;201001070730;0
HER;201001070740;0
HER;201001070750;0
HER;201001070800;0
HER;201001070810;0
HER;201001070820;0
HER;201001070830;0
HER;201001070840;0
HER;201001070850;0
HER;201001070900;0
HER;201001070910;0
HER;201001070920;0
HER;201001070930;0
HER;201001070940;0
HER;201001070950;0
HER;201001071000;0
HER;201001071010;0
HER;201001071020;0
HER;201001071030;0
HER;201001071040;0
HER;201001071050;0
HER;201001071100;0
HER;201001071110;0
HER;201001071120;0
HER;201001071130;0
HER;201001071140;0
HER;201001071150;0
HER;201001071200;0
HER;201001071210;0
HER;201001071220;0
HER;201001071230;0
HER;201001071240;0
HER;201001071250;0
HER;201001071300;0
HER;201001071310;0
HER;201001071320;0
HER;201001071330;0
HER;201001071340;0
HER;201001071350;0
HER;201001071400;0
HER;201001071410;0
HER;201001071420;0
HER;201001071430;0
HER;201001071440;0
HER;201001071450;0
HER;201001071500;0
HER;201001071510;0
HER;201001071520;0
HER;201001071530;0
HER;201001071540;0
HER;201001071550;0
HER;201001071600;0
HER;201001071610;0
HER;201001071620;0
HER;201001071630;0
HER;201001071640;0
HER;201001071650;0
HER;201001071700;0
HER;201001071710;0
HER;201001071720;0
HER;201001071730;0
HER;201001071740;0
HER;201001071750;0
HER;201001071800;0
HER;201001071810;0
HER;201001071820;0
HER;201001071830;0
HER;201001071840;0
HER;201001071850;0
HER;201001071900;0
HER;201001071910;0
HER;201001071920;0
HER;201001071930;0
HER;201001071940;0
HER;201001071950;0
HER;201001072000;0
HER;201001072010;0
HER;201001072020;0
HER;201001072030;0
HER;201001072040;0
HER;201001072050;0
HER;201001072100;0
HER;201001072110;0
HER;201001072120;0
HER;201001072130;0
HER;201001072140;0
HER;201001072150;0
HER;201001072200;0
HER;201001072210;0
HER;201001072220;0
HER;201001072230;0
HER;201001072240;0
HER;201001072250;0
HER;201001072300;0
HER;201001072310;0
HER;201001072320;0
HER;201001072330;0
HER;201001072340;0
HER;201001072350;0
HER;201001080000;0
HER;201001080010;0
HER;201001080020;0
